"me.species","me.records","me.auc","null.auc"
"Aphanotrigonum inerme.csv",13,0.9332,0.7785
"Aphrosylus argyreatus.csv",9,0.9731,0.798166666666667
"Aphrosylus celtiber.csv",18,0.8929,0.725222222222222
"Aphrosylus ferox.csv",22,0.8486,0.708522727272727
"Aphrosylus mitis.csv",6,0.7808,0.87025
"Apiloscatopse subgracilis.csv",9,0.8923,0.778888888888889
"Appendicia truncata.csv",116,0.7987,0.635043103448276
"Aprionus acutus.csv",7,0.8215,0.836357142857143
"Aprionus complicatus.csv",8,0.5952,0.8
"Aprionus ensiferus.csv",5,0.8454,0.88
"Aprionus laevis.csv",12,0.8033,0.767208333333333
"Aprionus piceae.csv",8,0.6686,0.832625
"Aprionus separatus.csv",9,0.6571,0.789666666666667
"Aprionus svecicus.csv",12,0.7735,0.821166666666667
"Arctoconopa melampodia.csv",26,0.8636,0.711596153846154
"Arctophila superbiens.csv",606,0.8908,0.561584158415842
"Argyra argyria.csv",160,0.9065,0.602590625
"Argyra atriceps.csv",22,0.8634,0.728818181818182
"Argyra fracta.csv",9,0.9024,0.806666666666667
"Argyra grata.csv",11,0.9297,0.805272727272727
"Argyra setimana.csv",17,0.9342,0.743058823529412
"Asilus barbarus.csv",28,0.7714,0.7225
"Asphondylia baudysi.csv",7,0.8356,0.830571428571429
"Asphondylia borzi.csv",7,0.8559,0.818857142857143
"Asphondylia melanopus.csv",6,0.8241,0.822083333333333
"Asphondylia ulicis.csv",10,0.7922,0.7947
"Asphondylia verbasci.csv",6,0.8268,0.838166666666667
"Aspistes berolinensis.csv",11,0.9111,0.780090909090909
"Astomella hispaniae.csv",8,0.7729,0.8065
"Asynapta breviata.csv",5,0.8501,0.8592
"Asynapta inflata.csv",5,0.8969,0.8716
"Atrichopogon (Atrichopogon) fuscus.csv",14,0.8917,0.761035714285714
"Atrichopogon (Atrichopogon) infuscus.csv",5,0.7892,0.8904
"Atrichopogon (Rostropogon) rostratus.csv",13,0.8772,0.740769230769231
"Aulagromyza fulvicornis.csv",5,0.6006,0.8498
"Aulagromyza orphana.csv",16,0.8431,0.7803125
"Aulagromyza similis.csv",11,0.7894,0.823272727272727
"Aulagromyza tremulae.csv",67,0.8405,0.653753731343284
"Austrolimnophila benoisti.csv",1701,0.8853,0.541525867136978
"Azana flavohalterata.csv",98,0.7846,0.63584693877551
"Bayeriola salicariae.csv",10,0.7526,0.83235
"Bayeriola thymicola.csv",10,0.728,0.8079
"Bazarella neglecta.csv",13,0.7434,0.760115384615385
"Bazarella subneglecta.csv",98,0.7807,0.629581632653061
"Beckerina umbrimargo.csv",21,0.8495,0.728714285714286
"Bellardia vespillo.csv",8,0.786,0.80625
"Bezzia acuta.csv",5,0.8487,0.8934
"Bezzia coracina.csv",15,0.7385,0.7648
"Bezzia winnertziana.csv",6,0.815,0.8655
"Bibio elmoi.csv",8,0.9924,0.8069375
"Bibio fulvicollis.csv",14,0.823,0.769285714285714
"Bibio hortulanus.csv",395,0.8881,0.570578481012658
"Bicellaria halterata.csv",6,0.8267,0.827083333333333
"Bicellaria mera.csv",9,0.8962,0.780222222222222
"Bicellaria nigrita.csv",17,0.8672,0.747382352941176
"Blaesoxipha (Blaesoxipha) lapidosa.csv",5,0.825,0.869
"Blaesoxipha (Servaisia) rossica.csv",9,0.8728,0.822777777777778
"Blepharipa schineri.csv",13,0.8746,0.784230769230769
"Boletina nigrofusca.csv",37,0.7327,0.698
"Bombomyia discoidea.csv",11,0.7731,0.774636363636364
"Bombomyia stictica.csv",19,0.8412,0.720789473684211
"Bombylius (Bombylius) analis.csv",33,0.854,0.685212121212121
"Bombylius (Bombylius) canescens.csv",236,0.9549,0.593900423728814
"Bombylius (Bombylius) trichurus.csv",14,0.8124,0.768142857142857
"Bombylius (Zephyrectes) cruciatus.csv",99,0.7918,0.640727272727273
"Bombylius fulvescens.csv",7,0.7536,0.824071428571429
"Bombylius medius.csv",440,0.8857,0.563731818181818
"Bombylius posticus.csv",23,0.748,0.719826086956522
"Boreoheptagyia legeri.csv",5,0.9514,0.87
"Boreosmittia inariensis.csv",24,0.7407,0.724291666666667
"Borophaga (Borophaga) irregularis.csv",6,0.7575,0.857833333333333
"Botanophila cuspidata.csv",7,0.9778,0.8325
"Botanophila depressa.csv",10,0.8536,0.80705
"Botanophila discreta.csv",441,0.8768,0.565156462585034
"Botanophila estonica.csv",11,0.6919,0.811909090909091
"Botanophila impudica.csv",99,0.7999,0.626742424242424
"Botanophila jacobaeae.csv",29,0.8043,0.708896551724138
"Botanophila latifrons.csv",52,0.7836,0.646923076923077
"Botanophila maculipes.csv",26,0.7255,0.703730769230769
"Botanophila sonchi.csv",41,0.823,0.676878048780488
"Botanophila trapezina.csv",29,0.8212,0.714241379310345
"Bothria frontosa.csv",46,0.9079,0.655826086956522
"Brachyneurina peniophorae.csv",5,0.8866,0.8874
"Brachyopa (Brachyopa) maculipennis.csv",16,0.7741,0.7604375
"Brachypeza (Brachypeza) radiata.csv",11,0.8306,0.778045454545455
"Bradysia arcana.csv",12,0.8879,0.757125
"Bradysia diversiabdominalis.csv",14,0.8269,0.777571428571429
"Braueriella phillyreae.csv",10,0.9055,0.8183
"Brevicornu disjunctum.csv",6,0.8806,0.868833333333333
"Brontaea humilis.csv",63,0.8608,0.649650793650794
"Brullaea ocypteroidea.csv",17,0.96,0.758823529411765
"Bryophaenocladius muscicola.csv",6,0.8598,0.852333333333333
"Bryophaenocladius psilacrus.csv",18,0.7085,0.753166666666667
"Bryophaenocladius saanae.csv",11,0.8477,0.788136363636364
"Bryophaenocladius sclerus.csv",5,0.9182,0.8922
"Calamoncosis (Calamoncosis) duinensis.csv",16,0.9155,0.751375
"Calamoncosis laminiformis.csv",42,0.8721,0.669952380952381
"Callicera macquartii.csv",19,0.7832,0.753631578947368
"Callicera spinolae.csv",63,0.8453,0.666269841269841
"Calliopum geniculatum.csv",49,0.9086,0.67534693877551
"Calliopum tuberculosum.csv",198,0.8766,0.593888888888889
"Calliphora (Calliphora) splendens.csv",6,0.8296,0.847083333333333
"Callomyia elegans.csv",7,0.6228,0.817785714285714
"Calocoenia (Leptocoenia) paurosoma.csv",10,0.8338,0.807
"Camilla fuscipes.csv",10,0.8695,0.7859
"Camilla glabra.csv",22,0.9358,0.712340909090909
"Campsicnemus armoricanus.csv",15,0.8535,0.7488
"Campsicnemus dasycnemus.csv",20,0.7905,0.7256
"Campsicnemus femoratus.csv",24,0.9573,0.715291666666667
"Campsicnemus lumbatus.csv",13,0.8513,0.772923076923077
"Campsicnemus magius.csv",20,0.9591,0.7246
"Campsicnemus pumilio.csv",53,0.8242,0.668518867924528
"Canace actites.csv",6,0.9482,0.854833333333333
"Catharosia albisquama.csv",7,0.8745,0.805642857142857
"Centorisoma elegantulum.csv",5,0.8646,0.8919
"Cephalops (Beckerias) pannonicus.csv",15,0.9054,0.7586
"Cephalops (Semicephalops) straminipes.csv",10,0.8448,0.7922
"Cephalops chlorionae.csv",10,0.8452,0.7992
"Cephalops semifumosus.csv",107,0.9216,0.624429906542056
"Cercagnota collini.csv",8,0.9359,0.8044375
"Cerdistus erythrurus.csv",14,0.7649,0.774428571428571
"Cerodontha (Dizygomyza) caricicola.csv",8,0.8525,0.804375
"Cerodontha (Dizygomyza) suturalis.csv",6,0.7147,0.846
"Cerodontha (Icteromyza) bohemani.csv",8,0.7011,0.79275
"Cerodontha (Poemyza) calamagrostidis.csv",11,0.8077,0.783181818181818
"Cerodontha (Poemyza) calosoma.csv",7,0.6073,0.850571428571429
"Cerodontha (Poemyza) caricivora.csv",5,0.7586,0.8689
"Cerodontha (Poemyza) imbuta.csv",6,0.8337,0.843666666666667
"Cerodontha (Poemyza) phragmitidis.csv",14,0.7508,0.759035714285714
"Cerodontha (Poemyza) pygmella.csv",54,0.8297,0.656462962962963
"Cerodontha (Poemyza) spencerae.csv",10,0.7727,0.7921
"Cerodontha iridis.csv",34,0.8437,0.693029411764706
"Ceroxys hortulana.csv",21,0.7965,0.734476190476191
"Chaetocladius muliebris.csv",6,0.8743,0.862333333333333
"Chaetopleurophora bohemanni.csv",5,0.5697,0.8698
"Chaetorellia australis.csv",7,0.8874,0.822714285714286
"Chaetorellia conjuncta.csv",20,0.8915,0.749175
"Chaetorellia succinea.csv",16,0.8676,0.7473125
"Chalcochiton pallasii.csv",6,0.8277,0.829833333333333
"Chalcosyrphus (Xylotomima) nigripes.csv",6,0.8195,0.86575
"Chamaemyia nigripalpis.csv",10,0.9187,0.7835
"Chamaepsila buccata.csv",49,0.7921,0.665163265306122
"Chamaepsila clunalis.csv",10,0.8486,0.80615
"Chamaepsila humeralis.csv",97,0.6845,0.626865979381443
"Chamaepsila limbatella.csv",83,0.8263,0.635289156626506
"Chamaepsila longipennis.csv",9,0.753,0.788666666666667
"Chamaepsila luteola.csv",8,0.8861,0.80375
"Chamaepsila morio.csv",33,0.8626,0.705363636363636
"Chamaepsila pallida.csv",149,0.9136,0.606838926174497
"Chamaepsila persimilis.csv",46,0.8883,0.687086956521739
"Chamaepsila unilineata.csv",24,0.7923,0.71675
"Chamaesyrphus caledonicus.csv",62,0.7431,0.649064516129032
"Cheilosia alpestris.csv",7,0.9628,0.866714285714286
"Cheilosia clama.csv",5,0.9745,0.9134
"Cheilosia griseifacies.csv",10,0.9485,0.80645
"Cheilosia griseiventris.csv",33,0.8963,0.678090909090909
"Cheilosia iberica.csv",5,0.9256,0.8557
"Cheilosia paraboli.csv",16,0.8503,0.7584375
"Cheilosia ruffipes.csv",230,0.9004,0.59735652173913
"Cheilosia tarditas.csv",848,0.799,0.555426297169811
"Chelifera aperticauda.csv",5,0.8343,0.8646
"Chelifera diversicauda.csv",26,0.8897,0.709384615384615
"Chelifera monostigma.csv",5,0.8648,0.8814
"Chelifera pectinicauda.csv",28,0.7962,0.697803571428571
"Chelipoda inexspectata.csv",13,0.7961,0.760115384615385
"Chersodromia arenaria.csv",8,0.79,0.7960625
"Chetogena janitrix.csv",14,0.7115,0.7845
"Chetostoma curvinerve.csv",65,0.923,0.648138461538462
"Chionea (Chionea) alpina.csv",8,0.8828,0.80725
"Chionea (Chionea) racovitzai.csv",104,0.806,0.633288461538462
"Chionea (Sphaeconophilus) arverna.csv",39,0.8526,0.685538461538462
"Chionea (Sphaeconophilus) besucheti.csv",39,0.8543,0.696153846153846
"Chionea (Sphaeconophilus) catalonica.csv",8,0.8849,0.801
"Chionea (Sphaeconophilus) jurassica.csv",39,0.8539,0.673846153846154
"Chironomus (Chironomus) clarus.csv",41,0.8403,0.684609756097561
"Chironomus (Chironomus) neocorax.csv",9,0.7344,0.769055555555556
"Chironomus (Chironomus) nudiventris.csv",72,0.9495,0.637708333333333
"Chironomus (Chironomus) parathummi.csv",24,0.9641,0.723083333333333
"Chironomus (Chironomus) saxatilis.csv",60,0.8158,0.656816666666667
"Chironomus (Chironomus) striatus.csv",17,0.9589,0.764294117647059
"Chironomus (Chironomus) uliginosus.csv",8,0.9563,0.814
"Chironomus brevidentatus.csv",8,0.9275,0.800875
"Chironomus venustus.csv",26,0.9168,0.695826923076923
"Chiropteromyza broersei.csv",10,0.6707,0.7895
"Chirosia aberrans.csv",6,0.901,0.849833333333333
"Chirosia albitarsis.csv",114,0.9007,0.620578947368421
"Chlorops adjunctus.csv",23,0.9032,0.725826086956522
"Chlorops fasciatus.csv",8,0.885,0.81675
"Chlorops frontosus.csv",15,0.8266,0.7564
"Chlorops interruptus.csv",12,0.9046,0.779708333333333
"Chlorops kirigaminensis.csv",18,0.7642,0.763083333333333
"Chlorops obscurellus.csv",20,0.6942,0.742
"Chlorops rossicus.csv",21,0.7635,0.765238095238095
"Chlorops strigulus.csv",15,0.8715,0.7562
"Choerades dioctriaeformis.csv",19,0.8164,0.734736842105263
"Choerades fulva.csv",8,0.745,0.83625
"Choerades ignea.csv",182,0.9048,0.601368131868132
"Choerades lapponica.csv",27,0.8974,0.720925925925926
"Choerades rufipes.csv",13,0.9494,0.778846153846154
"Chorisops nagatomii.csv",316,0.9094,0.575357594936709
"Chorisops tunisiae.csv",5,0.7317,0.8598
"Chromatomyia aprilina.csv",205,0.8822,0.599643902439024
"Chromatomyia asteris.csv",14,0.8523,0.775321428571429
"Chromatomyia centaurii.csv",6,0.8097,0.840916666666667
"Chromatomyia ciliata.csv",7,0.9455,0.817428571428571
"Chromatomyia lonicerae.csv",135,0.908,0.614259259259259
"Chromatomyia ramosa.csv",39,0.7932,0.689128205128205
"Chromatomyia scabiosae.csv",6,0.6122,0.809166666666667
"Chromatomyia scabiosarum.csv",9,0.844,0.798555555555556
"Chromatomyia succisae.csv",7,0.769,0.824857142857143
"Chrysopilus splendidus.csv",33,0.7874,0.683606060606061
"Chrysops (Chrysops) italicus.csv",16,0.8225,0.7639375
"Chrysotoxum lineare.csv",18,0.9134,0.737333333333333
"Chrysotus collini.csv",19,0.8488,0.741421052631579
"Chrysotus palustris.csv",54,0.7725,0.65562962962963
"Chrysotus suavis.csv",96,0.8627,0.646135416666667
"Chymomyza distincta.csv",11,0.7637,0.767636363636364
"Chyromya femorellum.csv",20,0.9265,0.7603
"Chyromya oppidana.csv",11,0.7373,0.782090909090909
"Cladopelma goetghebueri.csv",22,0.7954,0.730090909090909
"Cladotanytarsus lepidocalcar.csv",48,0.8388,0.670510416666667
"Claraeola melanostola.csv",5,0.9676,0.8884
"Cleigastra cryophila.csv",8,0.8675,0.829
"Clinocera (Kowarzia) bipunctata.csv",100,0.9289,0.64005
"Clinotanypus (Clinotanypus) pinguis.csv",20,0.9884,0.7579
"Clogmia albipunctatus.csv",1546,0.8517,0.540744501940492
"Clogmia rothschildi.csv",37,0.889,0.680743243243243
"Clusiodes microcerca.csv",6,0.7433,0.897833333333333
"Clytocerus (Clytocerus) rivosus.csv",9,0.8089,0.809722222222222
"Cochliarium albipila.csv",7,0.8648,0.816357142857143
"Cochliarium cuneiventris.csv",15,0.9245,0.765866666666667
"Coenosia (Dexiopsis) minutalis.csv",15,0.8799,0.754933333333333
"Coenosia antennata.csv",40,0.9397,0.676875
"Coenosia cingulipes.csv",143,0.7695,0.618734265734266
"Coenosia dealbata.csv",9,0.8433,0.774166666666667
"Coenosia distinguens.csv",32,0.8158,0.69596875
"Coenosia emiliae.csv",6,0.9081,0.848166666666667
"Coenosia femoralis.csv",142,0.9045,0.609845070422535
"Coenosia karli.csv",21,0.8605,0.733476190476191
"Coenosia stigmatica.csv",11,0.9579,0.768272727272727
"Coenosia vibrissata.csv",5,0.8741,0.8964
"Colobostema flavimanum.csv",48,0.8787,0.676645833333333
"Colobostema infumatum.csv",75,0.8419,0.643733333333333
"Colobostema nigripenne.csv",75,0.8373,0.634813333333333
"Conchapelopia intermedia.csv",38,0.8379,0.703289473684211
"Conioscinella livida.csv",5,0.875,0.8982
"Conioscinella sordidella.csv",23,0.8227,0.719565217391304
"Conisternum decipiens.csv",41,0.8985,0.668048780487805
"Conisternum obscurum.csv",57,0.7441,0.642298245614035
"Conisternum tinctinerve.csv",38,0.812,0.670236842105263
"Conophorus virescens.csv",8,0.725,0.81425
"Conops (Conops) ceriaeformis.csv",99,0.9028,0.640606060606061
"Conops (Conops) flavifrons.csv",5,0.5527,0.8834
"Conops (Conops) silaceus.csv",11,0.7479,0.808090909090909
"Conops (Conops) vitellinus.csv",7,0.6604,0.850428571428571
"Contarinia acerplicans.csv",23,0.7806,0.724782608695652
"Contarinia anthobia.csv",22,0.8943,0.723068181818182
"Contarinia anthophthora.csv",6,0.8711,0.867166666666667
"Contarinia campanulae.csv",9,0.8736,0.801444444444444
"Contarinia craccae.csv",34,0.8301,0.691294117647059
"Contarinia floricola.csv",5,0.7332,0.8628
"Contarinia gei.csv",7,0.8191,0.806285714285714
"Contarinia ilicis.csv",6,0.6775,0.874833333333333
"Contarinia jacobaeae.csv",31,0.8647,0.694709677419355
"Contarinia marchali.csv",8,0.8896,0.82375
"Contarinia medicaginis.csv",26,0.8822,0.732846153846154
"Contarinia nicolayi.csv",12,0.818,0.756166666666667
"Contarinia pilosellae.csv",11,0.952,0.789363636363636
"Contarinia pulchripes.csv",5,0.8625,0.8762
"Contarinia pyrivora.csv",9,0.8015,0.769777777777778
"Contarinia sambuci.csv",11,0.8003,0.793909090909091
"Contarinia scrophulariae.csv",44,0.9072,0.680545454545455
"Contarinia tragopogonis.csv",10,0.8935,0.78525
"Contarinia tremulae.csv",22,0.8078,0.725272727272727
"Contarinia tritici.csv",6,0.7849,0.844333333333333
"Contarinia vincetoxici.csv",9,0.8913,0.799888888888889
"Copestylum (Phalacromya) melleum.csv",6,0.9508,0.832083333333333
"Cordilura proboscidea.csv",25,0.8287,0.71536
"Cordyla styliforceps.csv",9,0.9076,0.814888888888889
"Corynoptera vagula.csv",9,0.788,0.811888888888889
"Corynoptera waltraudis.csv",6,0.904,0.870666666666667
"Cricotopus (Cricotopus) septentrionalis.csv",17,0.7632,0.738970588235294
"Cricotopus (Cricotopus) slossonae.csv",12,0.773,0.783833333333333
"Cricotopus (Isocladius) speciosus.csv",11,0.9165,0.825181818181818
"Cricotopus (Nostococladius) lygropis.csv",10,0.7924,0.7959
"Cricotopus ephippium.csv",30,0.8385,0.7111
"Cricotopus slossoanae.csv",12,0.7712,0.788625
"Criorhina berberina.csv",956,0.8817,0.555267782426778
"Crumomyia nigra.csv",29,0.8385,0.706103448275862
"Cryptaciura rotundiventris.csv",90,0.8375,0.641055555555556
"Cryptochironomus (Cryptochironomus) ussouriensis.csv",7,0.7686,0.836571428571429
"Cryptonevra (Cryptonevra) consimilis.csv",10,0.9844,0.8038
"Cryptonevra (Cryptonevra) nigritarsis.csv",22,0.9144,0.706181818181818
"Cryptotendipes holsatus.csv",31,0.918,0.695403225806452
"Cryptotendipes pseudotener.csv",7,0.7801,0.842285714285714
"Ctenosciara exigua.csv",5,0.6751,0.8654
"Culicoides (Monoculicoides) stigma.csv",12,0.8185,0.778166666666667
"Culicoides deltus.csv",10,0.7332,0.7758
"Cylindromyia (Plesiocyptera) rubida.csv",7,0.9045,0.861
"Cyllenia rustica.csv",6,0.5,0.852666666666667
"Cyrtophleba ruricola.csv",73,0.8595,0.653602739726027
"Cyrtophleba vernalis.csv",13,0.8061,0.7635
"Cyrtopogon flavimanus.csv",63,0.8064,0.660650793650794
"Cyrtopogon fulvicornis.csv",9,0.938,0.803555555555556
"Cyrtopogon meyerduerii.csv",6,0.9243,0.854833333333333
"Cyrtopogon ruficornis.csv",39,0.9021,0.687051282051282
"Cyrtus gibbus.csv",46,0.7117,0.685847826086956
"Cytherea obscura.csv",8,0.7665,0.861875
"Dalmannia dorsalis.csv",32,0.8201,0.69209375
"Dasineura alopecuri.csv",11,0.8069,0.780045454545455
"Dasineura aparines.csv",29,0.834,0.720068965517241
"Dasineura asparagi.csv",6,0.825,0.8585
"Dasineura auritae.csv",77,0.8419,0.642590909090909
"Dasineura broteri.csv",15,0.9838,0.724666666666667
"Dasineura cardaminis.csv",20,0.7402,0.7444
"Dasineura coronillae.csv",7,0.9552,0.809142857142857
"Dasineura engstfeldi.csv",27,0.8161,0.735314814814815
"Dasineura epilobii.csv",23,0.8119,0.722347826086956
"Dasineura ericaescopariae.csv",11,0.9156,0.803545454545455
"Dasineura filipendulae.csv",18,0.9076,0.751777777777778
"Dasineura fructum.csv",16,0.9422,0.73728125
"Dasineura galiicola.csv",18,0.8982,0.739888888888889
"Dasineura gleditchiae.csv",41,0.882,0.681743902439024
"Dasineura hygrophila.csv",33,0.8112,0.693151515151515
"Dasineura kiefferi.csv",9,0.8004,0.810888888888889
"Dasineura kiefferiana.csv",101,0.8784,0.627584158415842
"Dasineura lathyri.csv",9,0.8468,0.784777777777778
"Dasineura lathyricola.csv",6,0.7096,0.848833333333333
"Dasineura loewiana.csv",6,0.886,0.845833333333333
"Dasineura marginemtorquens.csv",49,0.8694,0.674897959183673
"Dasineura medicaginis.csv",9,0.8156,0.779777777777778
"Dasineura myosotidis.csv",9,0.7964,0.781
"Dasineura napi.csv",7,0.8,0.797642857142857
"Dasineura odoratae.csv",28,0.8161,0.704035714285714
"Dasineura oxyacanthae.csv",6,0.9853,0.804
"Dasineura periclymeni.csv",7,0.7303,0.823428571428571
"Dasineura phyteumatis.csv",8,0.9477,0.80675
"Dasineura pteridicola.csv",32,0.8032,0.70721875
"Dasineura pteridis.csv",178,0.9132,0.605280898876404
"Dasineura pulsatillae.csv",7,0.9719,0.818
"Dasineura ranunculi.csv",36,0.8477,0.686166666666667
"Dasineura rubella.csv",5,0.9512,0.8519
"Dasineura saxifragae.csv",12,0.9175,0.79275
"Dasineura stellariae.csv",5,0.8652,0.8926
"Dasineura strumosa.csv",9,0.8415,0.796111111111111
"Dasineura symphyti.csv",8,0.8356,0.825625
"Dasineura tetensi.csv",7,0.8518,0.819428571428571
"Dasineura thomasiana.csv",34,0.8448,0.685441176470588
"Dasineura tortilis.csv",38,0.8467,0.6995
"Dasineura tortrix.csv",7,0.8026,0.825142857142857
"Dasineura tubicoloides.csv",10,0.8592,0.7667
"Dasineura tympani.csv",17,0.7353,0.750647058823529
"Dasineura ulmicola.csv",11,0.8653,0.794636363636364
"Dasineura violae.csv",12,0.9155,0.770458333333333
"Dasiops appendiculus.csv",17,0.8504,0.765764705882353
"Dasiops facialis.csv",12,0.8262,0.76825
"Dasiops hennigi.csv",8,0.8823,0.802
"Dasiops latifrons.csv",5,0.7805,0.877
"Dasyhelea (Dasyhelea) unicolor.csv",7,0.7756,0.820142857142857
"Dasyhelea (Dasyhelea) versicolor.csv",5,0.8996,0.8866
"Dasyhelea (Pseudoculicoides) flavoscutellata.csv",9,0.7133,0.772055555555556
"Dasyhelea (Pseudoculicoides) sericata.csv",5,0.9817,0.8749
"Dasyrhamphis ater.csv",61,0.707,0.659098360655738
"Delia angustifrons.csv",8,0.8212,0.7965625
"Delia brunnescens.csv",10,0.7207,0.80125
"Delia diluta.csv",19,0.7997,0.724736842105263
"Delia flavogrisea.csv",5,0.8149,0.8807
"Delia floricola.csv",26,0.74,0.708057692307692
"Delia interflua.csv",12,0.9101,0.75375
"Delia judicariae.csv",22,0.7417,0.737454545454545
"Delia majuscula.csv",5,0.7457,0.8808
"Delia nudicosta.csv",5,0.7497,0.884
"Delia piliventris.csv",8,0.8487,0.7865
"Delia tumidula.csv",8,0.7733,0.81725
"Delia uniseriata.csv",13,0.8734,0.789576923076923
"Demicryptochironomus (Irmakia) neglectus.csv",6,0.8738,0.876583333333333
"Desmometopa microps.csv",5,0.9076,0.8898
"Dialineura analis.csv",352,0.8273,0.581769886363636
"Diallactia croceus.csv",18,0.7549,0.731611111111111
"Diallactia fulvus.csv",18,0.7526,0.755555555555556
"Diallactia incomparabilis.csv",18,0.757,0.750277777777778
"Diallactia obscuripes.csv",18,0.7566,0.739
"Diallactia subcroceus.csv",18,0.7522,0.745777777777778
"Diaphorus oculatus.csv",112,0.8708,0.6300625
"Diazosma hirtipenne.csv",5,0.7918,0.8831
"Dichropogon (Stichopogon) schineri.csv",10,0.7566,0.821
"Dicraeus (Oedesiella) scibilis.csv",26,0.9106,0.720769230769231
"Dicraeus napaeus.csv",8,0.7837,0.806875
"Dicraeus raptus.csv",11,0.8985,0.776818181818182
